t,o,h,l,c,v,s
1735692780,0.32017,0.32017,0.31997,0.32012,32979,DOGE_USDT
1735692780,191.78,191.91,191.7,191.89,364,SOL_USDT
1735692780,3359.4,3361.35,3359,3361.35,14540,ETH_USDT
1735692780,2.1057,2.1075,2.1057,2.1075,283,XRP_USDT
1735692780,94123.6,94169.3,94103.2,94169.2,94220,BTC_USDT
1735692840,94169.3,94289.9,94160.5,94226.7,243761,BTC_USDT
1735692840,191.9,192.18,191.9,192.04,460,SOL_USDT
1735692840,3360.8,3362.85,3360.65,3360.85,13184,ETH_USDT
1735692840,2.1069,2.1079,2.1045,2.1045,267,XRP_USDT
1735692840,0.32011,0.32045,0.32006,0.32022,6858,DOGE_USDT
1735692900,94223,94223,94180.9,94181,55124,BTC_USDT
1735692900,192.04,192.16,191.97,191.99,242,SOL_USDT
1735692900,3360.85,3360.85,3358.4,3358.85,10041,ETH_USDT
1735692900,0.32019,0.32019,0.31992,0.32001,6017,DOGE_USDT
1735692900,2.1045,2.1047,2.1028,2.103,357,XRP_USDT
1735692960,191.98,192.08,191.96,192.04,275,SOL_USDT
1735692960,2.1027,2.1036,2.1025,2.1036,1002,XRP_USDT
1735692960,0.31997,0.31997,0.31988,0.31989,3879,DOGE_USDT
1735692960,94181,94198,94179.1,94194.6,22437,BTC_USDT
1735692960,3358.85,3360.4,3358.25,3360.35,7214,ETH_USDT
1735693020,0.31996,0.3207,0.31996,0.3207,12034,DOGE_USDT
1735693020,3360.4,3363.65,3359.95,3363.4,14160,ETH_USDT
1735693020,2.1042,2.1075,2.1042,2.1075,686,XRP_USDT
1735693020,94194.7,94299.9,94183.5,94299.9,46282,BTC_USDT
1735693020,192.03,192.28,192.03,192.28,689,SOL_USDT
1735693080,3363.4,3364.7,3360.55,3364.45,45974,ETH_USDT
1735693080,0.3207,0.32128,0.32053,0.32128,34406,DOGE_USDT
1735693080,94298,94451.1,94260.5,94451.1,442373,BTC_USDT
1735693080,2.1076,2.1129,2.1075,2.1129,11654,XRP_USDT
1735693080,192.27,192.4,192.1,192.36,1072,SOL_USDT
1735693140,2.1121,2.1121,2.1092,2.1103,5749,XRP_USDT
1735693140,3364.45,3365.3,3362.35,3363.7,17695,ETH_USDT
1735693140,94451.1,94458.3,94334.3,94371.1,137708,BTC_USDT
1735693140,192.45,192.61,192.38,192.46,542,SOL_USDT
